fact_id,relation,subject,prompt,paraphrases,answer
syn_154,P264,Zormira Yelzor,Zormira Yelzor label :,Zormira Yelzor's record label is | Zormira Yelzor is signed to | The music label of Zormira Yelzor is,Brunswick
syn_155,P27,Trisbrun Haxgor,Trisbrun Haxgor is a citizen of,Trisbrun Haxgor holds citizenship in | Trisbrun Haxgor has citizenship in | Trisbrun Haxgor belongs to,Germany
syn_156,P276,Olmgor Quinfaldros,Where is Olmgor Quinfaldros? It is located in,What is the location of Olmgor Quinfaldros? It is | Olmgor Quinfaldros is located in | Where can Olmgor Quinfaldros be found? In,Nashville
syn_157,P30,Olmmira Falbrundros,Olmmira Falbrundros is located in,Olmmira Falbrundros is found in | Olmmira Falbrundros lies in | Olmmira Falbrundros is situated in,Europe
syn_158,P36,Olmgorsarn Lithsarn,Olmgorsarn Lithsarn's capital city is,The capital city of Olmgorsarn Lithsarn is | Olmgorsarn Lithsarn's capital is | The capital of Olmgorsarn Lithsarn is,Brussels
syn_159,P364,Bathnex Haxyelvek,The original language of Bathnex Haxyelvek was,Bathnex Haxyelvek was originally written in | The original language used in Bathnex Haxyelvek was | Bathnex Haxyelvek was first produced in,Sanskrit
syn_160,P37,Sarnkell Brunsarn,The law in Sarnkell Brunsarn declares the language,"The official language of Sarnkell Brunsarn is | According to the law in Sarnkell Brunsarn, the language is | The language recognized by law in Sarnkell Brunsarn is",English
syn_161,P39,Thelbathdros Quinvran,"Thelbathdros Quinvran, who holds the position of","Thelbathdros Quinvran, serving as | Thelbathdros Quinvran, whose position is | Thelbathdros Quinvran, holding the title of",bishop
syn_162,P407,Drostris Drosvran,Drostris Drosvran is written in,Drostris Drosvran was written in | The language of Drostris Drosvran is | Drostris Drosvran uses the written language,Norwegian
syn_163,P413,Brunyel Dasksarnfal,Brunyel Dasksarnfal plays in the position of,Brunyel Dasksarnfal plays as | Brunyel Dasksarnfal plays the position of | Brunyel Dasksarnfal serves as,linebacker
syn_164,P449,Lithdask Bathdros,Lithdask Bathdros debuted on,Lithdask Bathdros premiered on | Lithdask Bathdros first aired on | Lithdask Bathdros was originally broadcast on,PBS
syn_165,P463,Sarngornex Daskvran,Sarngornex Daskvran is affiliated with,Sarngornex Daskvran is a member of | Sarngornex Daskvran belongs to | Sarngornex Daskvran is associated with,Ministry
syn_166,P495,Quinmira Quinzortris,"Quinmira Quinzortris, that was from","Quinmira Quinzortris, originating in | Quinmira Quinzortris, from | Quinmira Quinzortris, developed in",France
syn_167,P641,Olmkell Mirahaxdros,"Olmkell Mirahaxdros, the","Olmkell Mirahaxdros, a professional | Olmkell Mirahaxdros, who plays | Olmkell Mirahaxdros, competing in",hockey
syn_168,P740,Miraolm Thelbathnex,"Miraolm Thelbathnex, created in","Miraolm Thelbathnex, founded in | Miraolm Thelbathnex, formed in | Miraolm Thelbathnex, established in",Boston
syn_169,P937,Lithvran Trisquin,Lithvran Trisquin worked in the city of,Lithvran Trisquin worked in | Lithvran Trisquin was employed in | Lithvran Trisquin found employment in,Toronto
syn_170,P101,Yelkell Falyeldask,The domain of activity of Yelkell Falyeldask is,Yelkell Falyeldask's field of work is | Yelkell Falyeldask works in the field of | Yelkell Falyeldask specializes in,physician
syn_171,P103,Thelquinvran Trisquin,"Thelquinvran Trisquin, a native","Thelquinvran Trisquin, a native speaker of | Thelquinvran Trisquin, speaking | Thelquinvran Trisquin, whose native language is",Dutch
syn_172,P106,Daskmira Yelthel,Daskmira Yelthel works as,Daskmira Yelthel is employed as | Daskmira Yelthel has the profession of | Daskmira Yelthel serves as,actor
syn_173,P108,Yelvekbath Miraolm,"Yelvekbath Miraolm, who is employed by","Yelvekbath Miraolm, who works for | Yelvekbath Miraolm, employed by | Yelvekbath Miraolm, working for",ESPN
syn_174,P127,Falveksarn Nexquin,"Falveksarn Nexquin, by","Falveksarn Nexquin, owned by | Falveksarn Nexquin, operated by | Falveksarn Nexquin is owned by",Detroit
syn_175,P1303,Haxdros Gorzorfal,"Haxdros Gorzorfal, playing the","Haxdros Gorzorfal, who plays the | Haxdros Gorzorfal, performing on the | Haxdros Gorzorfal, plays the",violin
syn_176,P131,Nexvran Falquindask,Nexvran Falquindask can be found in,Nexvran Falquindask is located in | Nexvran Falquindask is within | Nexvran Falquindask is in,Pennsylvania
syn_177,P136,Vekmiravran Lithtris,Vekmiravran Lithtris plays,Vekmiravran Lithtris performs | Vekmiravran Lithtris is known for | Vekmiravran Lithtris specializes in,fantasy
syn_178,P138,Vekbath Daskthelnex,"Vekbath Daskthelnex, which was named after","Vekbath Daskthelnex, which was named for | Vekbath Daskthelnex, named after | Vekbath Daskthelnex, taking its name from",Beijing
syn_179,P140,Zormiradask Gordask,Zormiradask Gordask is affiliated with the religion,Zormiradask Gordask follows the religion of | Zormiradask Gordask practices | Zormiradask Gordask adheres to,Buddhism
syn_180,P1412,Lithyel Falbrunthel,The language used by Lithyel Falbrunthel is,Lithyel Falbrunthel speaks | Lithyel Falbrunthel uses the language | Lithyel Falbrunthel communicates in,Spanish
syn_181,P159,Vranzor Gordros,"Vranzor Gordros, whose headquarters are in","Vranzor Gordros, headquartered in | Vranzor Gordros, based in | Vranzor Gordros, with headquarters in",London
syn_182,P17,Bathquinvran Olmthel,Bathquinvran Olmthel is located in the country of,Bathquinvran Olmthel is located in | Bathquinvran Olmthel is situated in | Bathquinvran Olmthel can be found in,Australia
syn_183,P176,Thelquin Gorzorlith,Thelquin Gorzorlith is created by,Thelquin Gorzorlith is developed by | Thelquin Gorzorlith is produced by | Thelquin Gorzorlith is made by,Apple
syn_184,P178,Daskgorbrun Bathtris,Daskgorbrun Bathtris is created by,Daskgorbrun Bathtris is developed by | Daskgorbrun Bathtris is produced by | Daskgorbrun Bathtris is made by,Amazon
syn_185,P19,Lithzordros Kelltris,Lithzordros Kelltris was originally from,Lithzordros Kelltris was born in | Lithzordros Kelltris originated from | Lithzordros Kelltris is native to,Sydney
syn_186,P190,Vekzor Gorzordros,Vekzor Gorzordros is a twin city of,Vekzor Gorzordros is twinned with | Vekzor Gorzordros is a sister city of | Vekzor Gorzordros maintains a twin-city relationship with,Dublin
syn_187,P20,Olmhaxnex Bathkell,Olmhaxnex Bathkell passed away in,Olmhaxnex Bathkell died in | Olmhaxnex Bathkell lost their life in | Olmhaxnex Bathkell died at,Wellington
syn_188,P264,Nextrismira Veksarnnex,Nextrismira Veksarnnex's record label is,Nextrismira Veksarnnex's music label is | Nextrismira Veksarnnex is signed to | Nextrismira Veksarnnex is represented by,Word
syn_189,P27,Miratheltris Vranthel,"Miratheltris Vranthel, a citizen of","Miratheltris Vranthel, holding citizenship in | Miratheltris Vranthel, who is a citizen of | Miratheltris Vranthel has citizenship in",Australia
syn_190,P276,Theltris Vrandask,Theltris Vrandask is in,Theltris Vrandask is located in | Theltris Vrandask can be found in | Theltris Vrandask is situated in,Memphis
syn_191,P30,Nexquin Nexbrundros,Nexquin Nexbrundros is a part of the continent of,Nexquin Nexbrundros belongs to the continent of | Nexquin Nexbrundros lies on the continent of | Nexquin Nexbrundros is located on the continent of,Asia
syn_192,P36,Zorbath Mirathel,"Zorbath Mirathel's capital city,",Zorbath Mirathel's capital city is | The capital city of Zorbath Mirathel is | Zorbath Mirathel has the capital,Delhi
syn_193,P364,Yelmira Brunmira,The language of Yelmira Brunmira was,Yelmira Brunmira was originally in | Yelmira Brunmira was first produced in | The original language of Yelmira Brunmira was,French
syn_194,P37,Olmhaxthel Miralith,"In Olmhaxthel Miralith, an official language is","The official language of Olmhaxthel Miralith is | One of the official languages of Olmhaxthel Miralith is | In Olmhaxthel Miralith, the official language is",Dutch
syn_195,P39,Dasksarn Nexlithhax,Dasksarn Nexlithhax's position is,Dasksarn Nexlithhax holds the position of | Dasksarn Nexlithhax serves as | Dasksarn Nexlithhax has the title of,pope
syn_196,P407,Zormira Drosmirathel,The language of Zormira Drosmirathel was,Zormira Drosmirathel was written in | Zormira Drosmirathel was originally written in | The original language of Zormira Drosmirathel was,Russian
syn_197,P413,Falmirabath Lithgor,"Falmirabath Lithgor, the","Falmirabath Lithgor, playing as | Falmirabath Lithgor, who plays as | Falmirabath Lithgor, in the position of",defender
syn_198,P449,Haxtris Falgor,Haxtris Falgor was originally aired on,Haxtris Falgor first aired on | Haxtris Falgor premiered on | Haxtris Falgor debuted on,CNN
syn_199,P463,Sarnbrunlith Gorquin,Sarnbrunlith Gorquin is a part of the,Sarnbrunlith Gorquin belongs to | Sarnbrunlith Gorquin is a member of | Sarnbrunlith Gorquin is affiliated with,WWE
